Job Title,Company Name,Email,Phone Number
Research Intern AI,IBM,N/A,N/A
Machine learning Engineer,Repucom,N/A,N/A
Data Analyst,Diensten Tech Limited,N/A,N/A
Analyst-Data Analytics,Resy,N/A,N/A
Data Analyst,S&P Global Inc.,N/A,N/A
GN - TS&A - Resilient Modern Architecture - Analyst,Accenture,india.fc.check@accenture.com,N/A
ANALYTICS,Mount Talent Consulting,N/A,N/A
Data Analyst,Zenatix Solutions,N/A,N/A
Business Analyst - Data Analytics,Resy,N/A,N/A
Data Analyst,Right Step Consulting,N/A,N/A
Data Analyst,Legistify,N/A,N/A
Data Analyst (Deployment),Legistify,N/A,N/A
Analyst-Data Analytics,AMERICAN EXPRESS,N/A,N/A
Hiring Dispute Analyst (Apply freshers only),Sovereign Institute Of Professional Training,N/A,N/A
Configuration Analyst,Aon,N/A,N/A
Claims Analyst (Data),Axa Xl,N/A,N/A
Business Analyst-Data Analytics,AMERICAN EXPRESS,N/A,N/A
Clinical Data Analyst,Career Ambitious,N/A,N/A
Hiring MBA Graduate For International Sales Process||CTC Upto 4.0 LPA,Multiple Clients,N/A,N/A
MIS Executive,Vinclo Systems,N/A,N/A
Marketing Executive (Medical Representative),Tablets India Ltd.,N/A,N/A
Apprentice - Business Operations,S&P Global Inc.,N/A,N/A
Gen AI Engineer,Cognizant,N/A,N/A
Research Intern Quantum,IBM,N/A,N/A
Call Centre Executive,Prem Motors,N/A,N/A
Associate Business Analyst,Right Step Consulting,N/A,N/A
Analyst-Risk Management,AMERICAN EXPRESS,N/A,N/A
Process Associate-P&C Insurance,Genpact,N/A,N/A
Process Associate- P&C Insurance,Genpact,N/A,N/A
Staff Auditor(Model Risk Management),Resy,N/A,N/A
Engineer,Luminous Power Technologies,N/A,N/A
